"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary,Fog_Index,Flesch_Index,Flesch-Kncaid,Lix-Index,Rix-Index
D:/Python_10K_Analysis/Test01/2007\100122.txt,7265068,4127,0.36346014053792103,0.7753816331475648,0.5330748727889508,1.090380421613763,0.1453840562151684,0.21807608432275258,0.24230676035861398,0.5573055488248122,26890,1421,544,1.9973346256360553,5.802762297068088,952,18.540132153337872,20.787851782300805,14.375572392029262,55.751832685258904,5.985267034990792
D:/Python_10K_Analysis/Test01/2007\1001233.txt,899531,5801,0.7584899155318048,2.051370453370109,1.0860196517841751,0.9481123944147561,0.3792449577659024,0.6033442509912084,0.10343044302706429,0.24133770039648336,38076,645,230,1.8689881054990518,5.497672815031891,1331,19.242897673227105,24.81037918314675,15.48756562098443,59.36392406584659,8.057471264367816
D:/Python_10K_Analysis/Test01/2007\1001288.txt,1618951,5737,1.1852884782987623,0.4706292487362733,0.9761199233048632,0.2788914066585323,0.31375283249084884,0.29632211957469057,0.22659926791005752,0.2440299808262158,35624,809,224,1.8744988670036604,5.666201847655569,1274,18.699081546111127,24.78636818350614,15.38268346858786,61.110611308192226,8.4
D:/Python_10K_Analysis/Test01/2007\1001601.txt,1745437,5981,1.220531683664939,1.6385219862899183,1.6218023741849188,0.5517471994649724,0.8527002173549573,0.4681491389399766,0.5183079752549741,0.40127069051997993,37492,861,255,1.8455107841498077,5.475004179903026,1382,19.19771365939231,26.164648772037395,15.453336776777258,59.5642557251402,7.61278863232682
D:/Python_10K_Analysis/Test01/2007\1001604.txt,8804318,4752,1.7676767676767675,0.484006734006734,1.1574074074074074,0.31565656565656564,0.23148148148148145,0.23148148148148145,0.2946127946127946,0.5050505050505051,27493,1098,399,1.8863636363636365,5.540193602693603,1105,19.634867880029173,24.571539589442807,15.219551738583998,60.11410572700895,7.895652173913043
D:/Python_10K_Analysis/Test01/2007\1001606.txt,1696903,6543,0.5196393091853889,2.04799021855418,2.0327067094604923,0.8100259819654593,1.2532477456824087,0.42793825462326146,0.24453614549900657,0.9475775638086504,38868,703,238,1.8639767690661775,5.532630291915024,1268,18.809726241171727,26.481378046031494,14.949273701067854,58.33411233225838,7.077151335311573
D:/Python_10K_Analysis/Test01/2007\1001614.txt,1291994,6501,0.46146746654360865,0.8614059375480696,1.3074911552068913,1.399784648515613,0.5383787109675434,0.5845254576219043,0.3999384710044608,0.676818950930626,38137,880,295,1.7911090601445931,5.322565759113982,1302,20.067526516423396,29.182017869744072,15.42041764900581,60.85947926598542,8.316546762589928
D:/Python_10K_Analysis/Test01/2007\1001718.txt,1455996,6570,1.0197869101978692,0.350076103500761,0.60882800608828,0.60882800608828,0.106544901065449,0.380517503805175,0.24353120243531204,0.654490106544901,39763,498,176,1.9450532724505327,5.7724505327245055,1315,21.504608025155974,17.406570073761884,16.757342900630576,65.92285948450332,9.29054054054054
D:/Python_10K_Analysis/Test01/2007\1001838.txt,4478605,5950,0.6722689075630253,0.4705882352941176,0.6218487394957983,0.13445378151260504,0.10084033613445378,0.03361344537815126,0.15126050420168066,0.2857142857142857,36183,1470,420,1.7909243697478991,5.388067226890756,1269,17.47472479766814,32.58774296877422,14.115638190331483,54.98092964122919,6.775862068965517
D:/Python_10K_Analysis/Test01/2007\1001902.txt,1405254,6011,1.4806188654134087,0.36599567459657295,0.8318083513558475,0.2495425054067543,0.1996340043254034,0.33272334054233904,0.349359507569456,0.4990850108135086,36526,590,189,1.95591415737814,5.767759108301448,1257,20.415207513497982,18.728607740354818,16.024477966152965,62.69997186975394,8.252100840336135
